Bee index ,bee colony,task,Trails,Position of stimulus,response (1= correct; 0= incorrect),,
4,1,smaller-than,2,4,1,,
4,1,smaller-than,2,5,0,,
4,1,smaller-than,2,2,1,,
4,1,smaller-than,2,1,0,,
4,1,smaller-than,3,5,1,,
4,1,smaller-than,3,6,0,,
4,1,smaller-than,3,3,0,,
4,1,smaller-than,3,2,1,,
4,1,smaller-than,3,6,0,,
4,1,smaller-than,3,4,1,,
4,1,smaller-than,4,4,0,,
4,1,smaller-than,4,1,0,,
4,1,smaller-than,4,2,0,,
4,1,smaller-than,4,6,1,,
4,1,smaller-than,4,3,1,,
4,1,smaller-than,4,2,0,,
4,1,smaller-than,5,6,0,,
4,1,smaller-than,5,5,0,,
4,1,smaller-than,5,3,1,,
4,1,smaller-than,5,2,1,,
4,1,smaller-than,5,4,1,,
4,1,smaller-than,5,6,0,,
4,1,smaller-than,6,6,0,,
4,1,smaller-than,6,3,0,,
4,1,smaller-than,6,5,0,,
4,1,smaller-than,6,6,0,,
4,1,smaller-than,6,2,1,,
4,1,smaller-than,6,3,0,,
4,1,smaller-than,6,4,1,,
4,1,smaller-than,6,1,1,,
4,1,smaller-than,7,5,1,,
4,1,smaller-than,7,6,1,,
4,1,smaller-than,7,3,0,,
4,1,smaller-than,7,6,1,,
4,1,smaller-than,7,5,1,,
4,1,smaller-than,7,2,0,,
4,1,smaller-than,7,4,1,,
4,1,smaller-than,8,2,1,,
4,1,smaller-than,8,4,0,,
4,1,smaller-than,8,1,1,,
4,1,smaller-than,8,5,0,,
4,1,smaller-than,8,3,1,,
4,1,smaller-than,9,6,0,,
4,1,smaller-than,9,5,1,,
4,1,smaller-than,9,6,0,,
4,1,smaller-than,9,3,1,,
4,1,smaller-than,9,2,1,,
4,1,smaller-than,10,6,0,,
4,1,smaller-than,10,5,0,,
4,1,smaller-than,10,4,1,,
4,1,smaller-than,10,1,1,,
4,1,smaller-than,10,4,0,,
4,1,smaller-than,10,6,0,,
4,1,smaller-than,10,3,1,,
4,1,smaller-than,11,5,1,,
4,1,smaller-than,11,6,0,,
4,1,smaller-than,11,4,1,,
4,1,smaller-than,11,2,1,,
4,1,smaller-than,12,5,1,,
4,1,smaller-than,12,2,0,,
4,1,smaller-than,12,1,1,,
4,1,smaller-than,12,4,0,,
4,1,smaller-than,12,3,1,,
4,1,smaller-than,13,5,1,,
4,1,smaller-than,13,2,1,,
4,1,smaller-than,13,4,0,,
4,1,smaller-than,13,5,0,,
4,1,smaller-than,13,4,1,,
4,1,smaller-than,14,5,1,,
4,1,smaller-than,14,6,1,,
4,1,smaller-than,14,3,0,,
4,1,smaller-than,14,5,1,,
4,1,smaller-than,14,1,1,,
4,1,smaller-than,14,3,0,,
4,1,smaller-than,15,5,0,,
4,1,smaller-than,15,4,0,,
4,1,smaller-than,15,1,1,,
4,1,smaller-than,15,3,1,,
4,1,smaller-than,16,6,1,,
4,1,smaller-than,16,5,0,,
4,1,smaller-than,16,4,1,,
4,1,smaller-than,16,2,1,,
4,1,smaller-than,16,1,0,,
4,1,smaller-than,17,4,1,,
4,1,smaller-than,17,1,1,,
4,1,smaller-than,17,2,1,,
4,1,smaller-than,17,5,0,,
4,1,smaller-than,17,2,1,,
4,1,smaller-than,17,6,0,,
4,1,smaller-than,18,5,0,,
4,1,smaller-than,18,2,0,,
4,1,smaller-than,18,4,1,,
4,1,smaller-than,18,1,1,,
4,1,smaller-than,18,4,1,,
4,1,smaller-than,18,6,0,,
4,1,smaller-than,18,3,1,,
4,1,smaller-than,19,5,1,,
4,1,smaller-than,19,2,0,,
4,1,smaller-than,19,4,1,,
4,1,smaller-than,19,6,1,,
4,1,smaller-than,20,6,1,,
4,1,smaller-than,20,3,0,,
4,1,smaller-than,20,5,1,,
4,1,smaller-than,20,2,0,,
4,1,smaller-than,21,4,0,,
4,1,smaller-than,21,1,1,,
4,1,smaller-than,21,5,0,,
4,1,smaller-than,21,1,1,,
4,1,smaller-than,21,3,1,,
4,1,smaller-than,21,6,1,,
4,1,smaller-than,22,5,1,,
4,1,smaller-than,22,6,1,,
4,1,smaller-than,22,1,0,,
4,1,smaller-than,22,4,0,,
4,1,smaller-than,22,2,1,,
4,1,smaller-than,23,4,1,,
4,1,smaller-than,23,1,0,,
4,1,smaller-than,23,2,1,,
4,1,smaller-than,23,6,0,,
4,1,smaller-than,23,3,1,,
4,1,smaller-than,24,6,0,,
4,1,smaller-than,24,5,0,,
4,1,smaller-than,24,2,1,,
4,1,smaller-than,24,3,1,,
4,1,smaller-than,24,1,1,,
4,1,smaller-than,25,5,1,,
4,1,smaller-than,25,6,1,,
4,1,smaller-than,25,3,0,,
4,1,smaller-than,25,4,1,,
4,1,smaller-than,25,1,1,,
4,1,smaller-than,25,6,1,,
4,1,smaller-than,26,4,1,,
4,1,smaller-than,26,2,1,,
4,1,smaller-than,26,6,1,,
4,1,smaller-than,27,1,0,,
4,1,smaller-than,27,2,1,,
4,1,smaller-than,27,5,1,,
4,1,smaller-than,27,6,1,,
4,1,smaller-than,28,5,0,,
4,1,smaller-than,28,1,1,,
4,1,smaller-than,28,3,1,,
4,1,smaller-than,28,2,1,,
4,1,smaller-than,29,2,0,,
4,1,smaller-than,29,3,1,,
4,1,smaller-than,29,6,1,,
4,1,smaller-than,29,4,1,,
4,1,smaller-than,30,4,0,,
4,1,smaller-than,30,5,1,,
4,1,smaller-than,30,1,1,,
4,1,smaller-than,30,2,1,,
5,1,bigger-than,1,5,1,,
5,1,bigger-than,1,6,1,,
5,1,bigger-than,2,6,0,,
5,1,bigger-than,2,1,1,,
5,1,bigger-than,2,5,1,,
5,1,bigger-than,2,4,0,,
5,1,bigger-than,2,6,0,,
5,1,bigger-than,2,4,0,,
5,1,bigger-than,2,5,1,,
5,1,bigger-than,2,6,0,,
5,1,bigger-than,2,5,1,,
5,1,bigger-than,2,4,0,,
5,1,bigger-than,2,2,0,,
5,1,bigger-than,3,4,1,,
5,1,bigger-than,3,1,1,,
5,1,bigger-than,3,4,1,,
5,1,bigger-than,3,5,0,,
5,1,bigger-than,3,2,0,,
5,1,bigger-than,3,1,1,,
5,1,bigger-than,3,2,0,,
5,1,bigger-than,4,4,1,,
5,1,bigger-than,4,5,0,,
5,1,bigger-than,4,2,1,,
5,1,bigger-than,4,6,0,,
5,1,bigger-than,4,5,0,,
5,1,bigger-than,4,4,1,,
5,1,bigger-than,4,2,1,,
5,1,bigger-than,4,5,0,,
5,1,bigger-than,4,6,0,,
5,1,bigger-than,4,3,1,,
5,1,bigger-than,5,2,0,,
5,1,bigger-than,5,5,0,,
5,1,bigger-than,5,6,1,,
5,1,bigger-than,5,3,1,,
5,1,bigger-than,5,2,0,,
5,1,bigger-than,5,1,1,,
5,1,bigger-than,6,4,0,,
5,1,bigger-than,6,1,1,,
5,1,bigger-than,6,2,1,,
5,1,bigger-than,6,3,1,,
5,1,bigger-than,7,4,1,,
5,1,bigger-than,7,1,1,,
5,1,bigger-than,7,2,0,,
5,1,bigger-than,7,1,1,,
5,1,bigger-than,7,5,0,,
5,1,bigger-than,7,6,1,,
5,1,bigger-than,7,3,0,,
5,1,bigger-than,8,4,0,,
5,1,bigger-than,8,1,1,,
5,1,bigger-than,8,5,1,,
5,1,bigger-than,8,2,0,,
5,1,bigger-than,8,5,1,,
5,1,bigger-than,8,6,1,,
5,1,bigger-than,8,5,1,,
5,1,bigger-than,9,4,1,,
5,1,bigger-than,9,1,0,,
5,1,bigger-than,9,5,0,,
