,language_name,latitude,longitude,genus,family,1A,2A,3A,4A,5A,6A,7A,8A,10A,11A,12A,13A,18A,19A,9A,20A,21A,21B,26A,28A,29A,14A,15A,16A,22A,23A,24A,25A,25B,27A,17A,10B
ksh,Kashaya,38.6666666667,-123.333333333,Pomoan,Hokan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 2, 'description': 'Left-oriented: One of the first three'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,,,
kaz,Kazakh,50.0,70.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
krq,Kerek,62.25,175.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
khk,Khakas,53.0,90.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
khg,Khaling,27.5,86.6666666667,Himalayish,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
khi,Khinalug,41.1666666667,48.0833333333,Khinalug,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
khv,Khwarshi,42.25,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
kfy,Kirghiz (Fu-Yu),47.75,124.416666667,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ksr,Kisar,-8.08333333333,127.116666667,Central Malayo-Polynesian,Austronesian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 1, 'description': 'Trochaic'}",
kit,Kitsai,31.8333333333,-96.5,Northern Caddoan,Caddoan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 7, 'description': 'Not predictable'}","{'value': 1, 'description': 'No weight'}",,,,,,,,
koo,Kola,-5.5,134.5,Central Malayo-Polynesian,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 6, 'description': 'Lexical stress'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
krh,Krahô,-8.0,-48.0,Je Setentrional,Macro-Ge,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
kym,Krymchak,45.0,34.25,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
krz,Kryz,41.0833333333,48.0,Lezgic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ksi,Ksingmul,21.0833333333,104.0,Khmuic,Austro-Asiatic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
kuq,Kumyk,43.0,47.3333333333,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
kuo,Kuot,-3.05,151.5,Kuot,Kuot,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
kwz,Kwaza,-12.5833333333,-60.6666666667,Kwaza,Kwaza,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
kat,Kâte,-6.5,147.75,Huon,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
lha,Laha,21.5833333333,103.916666667,Kadai,Tai-Kadai,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
lrk,Larike,-3.75,127.916666667,Central Malayo-Polynesian,Austronesian,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 3, 'description': 'Dual: both trochaic and iambic'}",
lil,Lillooet,50.75,-122.0,Interior Salish,Salishan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
lim,Limbu,27.1666666667,87.75,Himalayish,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
ara,Lokono,5.5,-55.1666666667,Antillean Arawakan,Arawakan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,"{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 1, 'description': 'Trochaic'}",
lon,Loniu,-2.06666666667,147.333333333,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 5, 'description': 'Weakly prefixing'}",,,,,,,,,,,,,
lum,Lummi,48.7,-122.666666667,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
mdr,Madurese,-7.0,113.5,Malayo-Sumbawan,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
mlt,Maltese,35.9166666667,14.4166666667,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 3, 'description': 'Right-edge: Ultimate or penultimate'}","{'value': 7, 'description': 'Combined'}",,,,,,,"{'value': 4, 'description': 'Undetermined'}",
mam,Mam,15.0,-91.8333333333,Mayan,Mayan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 5, 'description': 'Weakly prefixing'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 6, 'description': 'Combined: Right-edge and unbounded'}","{'value': 7, 'description': 'Combined'}",,,,,,"{'value': 3, 'description': 'No productive reduplication'}",,
mma,Mandaic (Modern),31.0,48.5,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
mns,Mansi,62.0,62.0,Ugric,Uralic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,"{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 1, 'description': 'Trochaic'}",
meh,Mehri,17.0,51.5,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,,,
mid,Midob,15.0833333333,26.25,Nubian,Eastern Sudanic,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
mcs,Miwok (Central Sierra),38.0,-120.333333333,Miwok,Penutian,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
mwn,Miwok (Northern Sierra),38.3333333333,-120.666666667,Miwok,Penutian,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,,"{'value': 2, 'description': 'Iambic'}",
mxt,Mixtec (Ayutla),16.9166666667,-99.1666666667,Mixtec,Oto-Manguean,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
mos,Mosetén,-14.75,-67.8333333333,Mosetenan,Mosetenan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
muo,Muong,20.5,105.083333333,Vietic,Austro-Asiatic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
mkw,Máku,0.416666666667,-69.8333333333,Máku,Máku,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
nab,Nabak,-6.41666666667,147.0,Huon,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
nam,Namia,-3.83333333333,141.75,Yellow River,Sepik,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,,,
nnk,Nankina,-5.78333333333,146.45,Finisterre,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
neg,Negidal,53.0,139.0,Tungusic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
naa,Neo-Aramaic (Amadiya),37.0,43.0,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
nev,Nevome,31.0,-112.5,Tepiman,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,,,
nog,Noghay,44.0,46.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
nok,Noghay (Karagash),47.5,47.25,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
nyk,Nyamkad,32.0,78.5,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
oks,Oksapmin,-5.16666666667,142.166666667,Oksapmin,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
olo,Olo,-3.41666666667,142.0,Central Wapei,Torricelli,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
ong,Onge,10.75,92.4166666667,South Andamanese,South Andamanese,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
orc,Oroch,50.3333333333,137.5,Tungusic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,"{'value': 7, 'description': 'Ultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,,
ork,Orok,49.5,143.5,Tungusic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
oro,Orokaiva,-8.83333333333,148.25,Binanderean,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
orl,Orokolo,-7.83333333333,145.333333333,Eleman,Eleman,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
osa,Osage,37.0,-94.0,Mississippi Valley Siouan,Siouan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,,,
oss,Ossetic,43.0,44.0,Iranian,Indo-European,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 2, 'description': 'Long vowel'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
pno,Paiute (Northern),42.0,-118.0,Northern Uto-Aztecan,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
put,Paiute (Southern),37.8333333333,-113.333333333,Northern Uto-Aztecan,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,"{'value': 3, 'description': 'Second'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 2, 'description': 'Iambic'}",
pat,Patep,-6.91666666667,146.583333333,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
ptt,Pattani,32.75,76.75,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
pip,Pipil,13.8333333333,-89.5833333333,Aztecan,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,"{'value': 3, 'description': '4-5 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}",,
qec,Quechua (Ecuadorean),-1.0,-79.0,Quechuan,Quechuan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
qim,Quechua (Imbabura),0.333333333333,-78.0,Quechuan,Quechuan,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 4, 'description': 'No syncretism'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}","{'value': 5, 'description': '8-9 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 2, 'description': 'Full reduplication only'}",,
rwa,Rawa,-5.83333333333,146.0,Finisterre,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
sch,Saanich,48.5833333333,-123.416666667,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
sae,Saek,17.4166666667,104.75,Kam-Tai,Tai-Kadai,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
slr,Salar,35.0,103.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
sss,Salish (Samish Straits),48.5833333333,-122.583333333,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
sta,Santa,31.5,107.5,Mongolic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
syg,Saryg Yughur,38.75,99.75,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
shw,Shawnee,40.0,-83.0,Algonquian,Algic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
shr,Shor,53.0,88.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
swr,Shoshone (Wind River),43.4166666667,-108.833333333,Northern Uto-Aztecan,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
sod,Soddo,8.5,38.5,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
sol,Solon,48.0,120.0,Tungusic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
sgs,Songish,48.45,-123.333333333,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
soo,Sooke,48.3333333333,-123.75,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
spi,Spitian,32.25,78.0,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
sti,Stieng,11.8333333333,106.75,Bahnaric,Austro-Asiatic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,,,
sul,Sulka,-5.08333333333,151.916666667,Sulka,Sulka,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 6, 'description': 'Strong prefixing'}",,,,,,,,,,,,,
tbr,Tabaru,1.5,127.25,North Halmaheran,North Halmaheran,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,,
tce,Tarahumara (Central),27.5,-107.5,Tarahumaran,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
tvo,Tatar,56.0,49.5,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
ttb,Tatar (Baraba),55.3333333333,78.3333333333,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
tlb,Tatar-Noghay (Alabugat),47.4166666667,45.6666666667,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
tec,Tectiteco,15.4166666667,-92.0833333333,Mayan,Mayan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
tmr,Temiar,5.0,101.5,Aslian,Austro-Asiatic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 6, 'description': 'Strong prefixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
tps,Tepehuan (Southeastern),23.0,-104.5,Tepiman,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,"{'value': 2, 'description': 'Full reduplication only'}","{'value': 1, 'description': 'Trochaic'}",
tew,Tewa (Arizona),35.8333333333,-110.416666667,Kiowa-Tanoan,Kiowa-Tanoan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
thd,Thadou,24.4166666667,93.9166666667,Kuki-Chin,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
tid,Tidore,0.75,127.5,North Halmaheran,North Halmaheran,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 6, 'description': 'Strong prefixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
til,Tillamook,45.3333333333,-123.75,Tillamook,Salishan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
tni,Tinani,32.3333333333,77.1666666667,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
tnd,Tindi,42.3666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
tin,Tinrin,-21.6666666667,165.75,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
tod,Tod,32.4166666667,77.25,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
tof,Tofa,53.75,98.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
tsz,Tsez,42.25,45.75,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
tex,Turkic (East-Central Xorasan),37.0,59.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
